"","X","ticker","date","name","est","sector","industry","industry_group","marcap","invested_capital","total_equity","total_debt","pretax_income","dividends","roic"
"830",1,"NIU","2015-06-30",NA,NA,NA,NA,NA,5630,2.87,3.24,0.57,-3.69,0,-1.28571428571429
"831",1,"NME","2015-06-30",NA,NA,NA,NA,NA,1990,-2.31,-3.81,1.5,-0.21,0,0.0909090909090909
"832",1,"NMG","2015-06-30",NA,NA,"Basic Materials","Gold",NA,150,-8.88,-8.88,NA,-0.52,0,0.0585585585585586
"833",1,"NMI","2015-06-30",NA,NA,"Basic Materials","Copper",NA,11260,5.15,5.05,NA,-0.89,0,-0.172815533980583
"834",1,"NMS","2016-03-31",NA,NA,NA,NA,NA,73730,72.88,72.8,0.09,-7.09,-4.92,-0.164791437980242
"835",1,"NNW","2015-12-31",NA,NA,"Technology","Software - Application",NA,102720,61.52,61.52,NA,2.15,0,0.0349479843953186
"836",1,"NOE","2013-12-31",NA,NA,"Industrials","Waste Management",NA,66410,319.82,115.72,244.31,9.06,NA,NA
"837",1,"NOR","2016-06-30",NA,NA,NA,NA,NA,19060,3.3,3.3,NA,-16.66,0,-5.04848484848485
"838",1,"NRT","2015-06-30",NA,NA,"Healthcare","Drug Manufacturers - Major",NA,23840,44.67,44.36,0,-7.14,NA,NA
"839",1,"NSE","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,2870,83.88,83.61,0.33,0.21,0,0.0025035765379113
"840",1,"NSL","2015-06-30",NA,NA,NA,NA,NA,61830,13.5,13.5,0.05,-2.57,0,-0.19037037037037
"841",1,"NSR","2016-06-30",NA,NA,"Real Estate","REIT - Industrial",NA,533530,317.9,398.35,462.77,-0.18,-25.57,-0.0810003145643284
"842",1,"NST","2016-06-30",NA,NA,"Basic Materials","Gold",NA,2782420,452.04,451.91,14.07,151.37,-36.01,0.255198654986284
"843",1,"NSX","2016-06-30",NA,NA,"Financial Services","Credit Services",NA,23420,5.12,6.9,NA,-1.12,0,-0.21875
"844",1,"NTC","2016-06-30",NA,NA,NA,NA,NA,344640,77.29,77.29,0.08,2.03,0,0.0262647172984862
"845",1,"NTM","2016-06-30",NA,NA,NA,NA,NA,8550,2.7,2.7,NA,-0.69,0,-0.255555555555556
"846",1,"NUF","2016-07-31",NA,NA,NA,NA,NA,2443850,2193.28,1550.23,906.88,27.52,-40.38,-0.00586336445871024
"847",1,"NUH","2016-06-30",NA,NA,"Technology","Communication Equipment",NA,19630,1.93,1.93,NA,-6.72,0,-3.48186528497409
"848",1,"NVI","2015-06-30",NA,NA,NA,NA,NA,370,5.95,5.95,NA,-29.67,0,-4.98655462184874
"849",1,"NVO","2016-06-30",NA,NA,"Basic Materials","Gold",NA,20560,8.33,8.09,0.24,-4.96,0,-0.595438175270108
"850",1,"NWF","2015-06-30",NA,NA,"Basic Materials","Gold",NA,52170,17.32,17.28,0.04,-1.52,0,-0.0877598152424942
"851",1,"NWH","2016-06-30",NA,NA,"Industrials","Engineering & Construction",NA,172900,149.79,149.79,96.49,21.45,0,0.143200480672942
"852",1,"NWS","2016-06-30",NA,NA,"Consumer Cyclical","Broadcasting - TV",NA,11008180,11933,11782,369,179,-147,0.00268163915193162
"853",1,"NWZ","2016-06-30",NA,NA,NA,NA,NA,1460,9.31,8.75,0.56,-16.38,0,-1.7593984962406
"854",1,"NXR","2015-06-30",NA,NA,NA,NA,NA,4080,3.51,3.51,NA,-4.55,0,-1.2962962962963
"855",1,"NXT","2016-06-30",NA,NA,"Technology","Data Storage",NA,989080,492.68,333.13,166.15,1.76,0,0.00357229844929772
"856",1,"NYO","2015-06-30",NA,NA,"Basic Materials","Industrial Metals & Minerals",NA,900,0.38,0.38,NA,-3.04,NA,NA
"857",1,"OAR","2016-06-30",NA,NA,"Real Estate","Real Estate Services",NA,7350,8,8,NA,-0.49,0,-0.06125
"858",1,"OBJ","2016-06-30",NA,NA,NA,NA,NA,143380,7.49,7.28,0.21,-3.56,0,-0.475300400534045
"859",1,"OCC","2016-06-30",NA,NA,"Healthcare","Biotechnology",NA,38260,4.88,4.88,NA,-3.78,0,-0.774590163934426
"860",1,"OCP","2016-03-31",NA,NA,NA,NA,NA,65290,99.31,86.67,13.46,4.85,0,0.0488369751283859
"861",1,"ODN","2015-12-31",NA,NA,"Energy","Oil & Gas E&P",NA,70,-3.63,-3.88,0.25,-0.3,0,0.0826446280991736
"862",1,"ODY","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,6880,4.17,4.17,NA,-0.27,0,-0.0647482014388489
"863",1,"OEC","2014-06-30",NA,NA,NA,NA,NA,43070,29.38,21.05,8.33,1.68,NA,NA
"864",1,"OEG","2015-06-30",NA,NA,"Financial Services","Credit Services",NA,1670,-2.01,-2.53,0.51,-11.64,0,5.7910447761194
"865",1,"OEL","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,53210,78.34,78.34,NA,33.85,-8.9,0.318483533316314
"866",1,"OEX","2015-06-30",NA,NA,"Energy","Oil & Gas E&P",NA,5180,26.6,26.6,NA,-17.39,NA,NA
"867",1,"OFW","2015-12-31",NA,NA,"Industrials","Staffing & Outsourcing Services",NA,0,7.9,7.87,0.04,-0.28,0,-0.0354430379746835
"868",1,"OFX","2016-03-31",NA,NA,"Industrials","Business Services",NA,436800,53.23,53.23,NA,21.81,-17.24,0.0858538418185234
"869",1,"OGC","2015-12-31",NA,NA,"Basic Materials","Gold",NA,1795500,1323.13,1139.81,193.61,53.07,-12.21,0.030881319295912
"870",1,"OGH","2015-06-30",NA,NA,NA,NA,NA,2140,12.08,11.06,1.02,-10.3,0,-0.852649006622517
